l3_name,attribute_name,attribute_value,data_type,polarity1,value1,unit1,polarity2,value2,unit2,key_value,display_value,mod_reason
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,M10 x 1,,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,M8 x 1,,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,M8 x 1,,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,M8 x 1,,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,M8 x 1,,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
cylindrical roller bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
insert bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
radial ball bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
mounted bearings,grease fitting thread size,"1/4""-28",,,<NA>,,,<NA>,,,<NA>,spec with thread
